pos_x, pos_y, pos_z
0.147793, 0.029748, 0.376792
-0.036016, -0.089187, 0.642272
0.114939, -0.078260, 0.615610
0.097777, 0.001513, 0.295500
0.102031, 0.011215, 0.294839
0.114895, 0.011832, 0.331663
0.031372, 0.022780, 0.378126
0.177068, -0.055402, 0.422979
-0.002089, -0.025795, 0.288986
-0.008325, -0.041079, 0.286363
0.220976, -0.044509, 0.376158
0.117163, 0.019870, 0.359299
0.108070, -0.090484, 0.424490
0.235364, -0.053274, 0.445117
0.171882, -0.056025, 0.400436
0.113851, -0.082539, 0.442997
0.133366, -0.013156, 0.318931
0.027603, -0.039298, 0.516972
0.171813, -0.049717, 0.411968
-0.011276, -0.006880, 0.290590
0.172843, -0.044385, 0.432896
0.119970, -0.002117, 0.283174
0.077861, -0.119321, 0.383365
0.156096, -0.158805, 0.709300
-0.059210, -0.050742, 0.459499
0.225173, -0.044504, 0.372927
0.098306, -0.115927, 0.364254
0.237645, -0.032075, 0.448888
0.099363, -0.121889, 0.365439
0.013259, -0.104791, 0.352637
0.091973, -0.115243, 0.362728
0.104870, 0.004646, 0.270566
0.107554, 0.015013, 0.311328
0.095481, 0.004223, 0.267498
-0.013503, -0.062871, 0.295146
-0.006864, -0.036076, 0.296631
0.096213, 0.000061, 0.265403
-0.085370, 0.001811, 0.439558
0.185512, -0.110318, 0.345403
0.110321, 0.001512, 0.348071
0.099573, 0.010206, 0.291812
0.021487, 0.004459, 0.465161
0.144085, -0.012446, 0.318347
0.069481, -0.119538, 0.411956
-0.004076, -0.061950, 0.285939
0.143628, -0.015059, 0.317843
0.067919, -0.118833, 0.398703
0.100751, 0.005638, 0.288527
0.106097, 0.015255, 0.289409
-0.000185, 0.022989, 0.366027
0.103296, -0.076916, 0.436337
-0.069067, -0.046114, 0.373026
0.116453, 0.008015, 0.327986
-0.110550, 0.012411, 0.440025
0.108461, -0.002459, 0.310475
-0.031356, -0.100062, 0.364195
0.129924, -0.016417, 0.382969
-0.007058, -0.024963, 0.361464
-0.021562, -0.005926, 0.352551
0.085102, -0.025961, 0.416157
-0.117746, -0.024962, 0.442008
-0.003366, -0.018184, 0.356491
0.110362, -0.077635, 0.495330
0.174135, -0.206053, 0.766342
0.080649, -0.126227, 0.426196
0.121964, -0.012993, 0.305846
0.096740, -0.111225, 0.527941
0.091860, -0.116563, 0.393029
0.131019, -0.025592, 0.422578
0.155624, -0.052680, 0.421372
-0.157863, -0.084074, 0.512946
0.227445, -0.039126, 0.388076
0.059002, -0.067998, 0.281401
-0.155592, -0.058063, 0.497668
-0.292647, -0.140227, 0.669411
-0.032059, -0.086753, 0.567338
-0.378401, -0.230779, 0.832905
-0.006649, -0.000686, 0.363691
-0.078853, -0.026869, 0.389716
-0.102431, -0.115385, 0.414491
0.113841, 0.010117, 0.361932
0.091847, 0.003943, 0.268871
0.090717, 0.002407, 0.276887
0.138101, -0.011165, 0.316866
0.105490, -0.063087, 0.526009
0.149932, -0.201445, 0.714343
0.079743, -0.001201, 0.262328
0.101511, 0.015635, 0.295162
0.123765, -0.064516, 0.621927
-0.196644, -0.077512, 0.562389
0.115275, -0.079294, 0.484893
0.089717, 0.027169, 0.316760
-0.020334, -0.033735, 0.347655
0.005339, -0.121911, 0.405051
0.013869, -0.118389, 0.418026
-0.004096, -0.054804, 0.271204
-0.063243, -0.003509, 0.329770
-0.056498, -0.123416, 0.603992
0.153329, 0.008836, 0.370062
0.276206, -0.004253, 0.454324
0.116404, -0.010363, 0.341491
-0.007118, -0.059026, 0.463110
-0.167124, -0.063133, 0.521171
-0.011442, -0.128117, 0.493406
0.094201, 0.019166, 0.301657
-0.004039, -0.049601, 0.419279
-0.005474, -0.011562, 0.293423
0.149492, -0.015856, 0.337919
-0.008777, -0.060160, 0.282124
0.000636, -0.027257, 0.362643
0.112804, 0.026876, 0.314446
0.109022, -0.016953, 0.343206
-0.137695, 0.014450, 0.459063
0.102404, 0.016509, 0.287799
-0.081155, 0.000439, 0.362061
-0.085564, -0.018799, 0.363912
-0.316771, -0.122534, 0.699673
0.091959, 0.025534, 0.313994
0.121392, 0.021703, 0.374763
-0.006775, -0.078319, 0.410012
-0.473526, -0.226567, 0.906975
0.024734, -0.016235, 0.489312
0.167276, -0.011260, 0.355542
0.109464, 0.020216, 0.308124
0.245657, -0.024364, 0.455907
-0.010373, -0.006913, 0.290719
0.104869, 0.014033, 0.289983
0.202479, -0.323633, 0.852583
-0.123304, -0.117336, 0.452426
0.084254, -0.137817, 0.535086
0.089065, -0.112026, 0.383754
0.195326, -0.240495, 0.795494
0.082894, -0.049007, 0.542803
0.015024, -0.109332, 0.406470
0.090895, 0.005858, 0.280740
0.117121, 0.008126, 0.332391
0.101888, 0.019969, 0.319916
0.089407, -0.122145, 0.489161
-0.013331, 0.062076, 0.531385
0.168091, -0.014879, 0.408712
0.097397, -0.105143, 0.376652
-0.087158, -0.042502, 0.453619
0.098913, -0.109988, 0.406607
0.171811, -0.011663, 0.383166
-0.002108, -0.036489, 0.421057
0.124791, 0.012315, 0.320976
0.093546, 0.024255, 0.324987
0.105401, 0.033797, 0.329708
-0.054530, 0.001468, 0.352405
-0.007094, 0.006015, 0.299882
-0.052372, -0.013809, 0.508666
0.062163, -0.117511, 0.375660
-0.046055, -0.095173, 0.596715
0.121709, 0.022446, 0.359147
0.002965, -0.017280, 0.431101
-0.142861, -0.032472, 0.437977
0.130968, 0.015011, 0.350724
0.094175, 0.020413, 0.329005
-0.036021, -0.017332, 0.447899
-0.004048, -0.093157, 0.365393
-0.192897, -0.109294, 0.554597
0.101910, 0.022040, 0.315979
-0.019473, -0.021427, 0.395757
-0.141989, -0.027587, 0.447568
0.097167, 0.020309, 0.305559
-0.104659, -0.028317, 0.440195
0.099384, 0.006091, 0.273273
0.196744, -0.018087, 0.407866
-0.008426, -0.039308, 0.284719
-0.112535, -0.120114, 0.430857
-0.119662, -0.004148, 0.416503
0.110662, 0.017454, 0.327223
0.128416, -0.063307, 0.529241
0.073320, -0.107639, 0.385658
0.129930, 0.031423, 0.364569
0.076463, -0.082033, 0.493625
0.133917, -0.222564, 0.684687
0.138788, 0.011184, 0.343729
-0.005828, -0.059932, 0.358838
0.200444, -0.009366, 0.378761
-0.008038, 0.025510, 0.398653
0.094338, -0.007629, 0.265765
0.167675, -0.011069, 0.366975
0.126857, -0.069271, 0.555249
0.126601, 0.009286, 0.358153
0.102739, 0.018550, 0.262262
-0.004936, 0.016392, 0.289428
0.086834, 0.022844, 0.292536
0.104447, 0.028479, 0.335709
0.092015, 0.024428, 0.271863
0.107784, 0.015482, 0.295100
0.104852, 0.028805, 0.336498
0.088789, 0.029297, 0.284059
0.092474, 0.025252, 0.273392
0.086781, 0.026559, 0.266281
0.106566, 0.018068, 0.279067
0.103236, 0.021792, 0.280056
0.119513, 0.031030, 0.320615
0.108127, 0.020241, 0.270549
0.104803, -0.003224, 0.307414
-0.006318, 0.021753, 0.285136
-0.024269, -0.026836, 0.254731
0.126128, -0.008485, 0.263777
0.081042, 0.016982, 0.259053
0.113436, -0.007512, 0.253130
0.187106, -0.030457, 0.431296
0.082304, -0.050422, 0.088063
0.086416, -0.047628, 0.105361
0.071249, 0.003313, 0.116136
0.073837, 0.000386, 0.132801
0.060846, -0.005446, 0.166077
0.116974, -0.017487, 0.239691
-0.022555, 0.026164, 0.081151
0.088792, 0.020120, 0.297674
-0.049760, 0.008485, 0.391169
0.100709, 0.020775, 0.275377
-0.002834, 0.025444, 0.288710
-0.052891, 0.010234, 0.397017
0.098407, 0.027079, 0.306408
0.088965, -0.129985, 0.565931
-0.066105, 0.017771, 0.465758
-0.002582, 0.010047, 0.381054
0.120049, 0.017700, 0.349938
0.184799, -0.011175, 0.395889
0.207481, -0.027337, 0.411222
0.061148, 0.019405, 0.388070
0.132704, -0.016480, 0.357385
0.177558, -0.037767, 0.416320
0.132857, 0.021383, 0.376058
0.074675, -0.116436, 0.404890
-0.005334, -0.018783, 0.294749
-0.010423, -0.107964, 0.394975
-0.013392, -0.000453, 0.300252
0.090012, 0.019063, 0.270897
0.223777, 0.011404, 0.300276
0.005092, 0.011230, 0.084679
0.125568, -0.001616, 0.234302
-0.003691, -0.001251, 0.081461
0.168388, -0.022101, 0.204489
0.054783, 0.009533, 0.153678
0.033718, -0.002771, 0.159170
0.096685, -0.006322, 0.326877
0.195448, -0.015664, 0.398645
0.090229, 0.025655, 0.281447
0.097892, -0.004397, 0.252549
0.101486, 0.032943, 0.326224
-0.060888, 0.004587, 0.476663
0.102384, -0.111304, 0.381597
0.224275, -0.055684, 0.430795
0.112916, 0.028980, 0.371133
0.178386, -0.032625, 0.375741
0.213183, -0.044239, 0.268202
0.200257, -0.028702, 0.260401
0.196196, -0.022930, 0.057734
0.176900, -0.045538, 0.230599
0.174941, -0.031576, 0.279594
0.126757, -0.036863, 0.231726
0.112316, 0.014199, 0.188656
0.060662, 0.002256, 0.138016
0.058069, -0.001412, 0.127583
0.059179, 0.001819, 0.139531
0.062669, 0.002057, 0.127184
0.041335, -0.003559, 0.142977
0.099885, 0.007885, 0.095456
0.053051, 0.002293, 0.128267
-0.008971, -0.065554, 0.285230
0.045059, 0.019913, 0.277210
0.100067, -0.001948, 0.284168
-0.016490, -0.009777, 0.231414
0.097919, 0.002911, 0.265687
0.093932, 0.028410, 0.294331
0.092447, 0.024714, 0.272674
-0.006186, 0.022228, 0.285203
0.101921, 0.028816, 0.278729
0.101972, 0.017964, 0.263514
0.174649, 0.066833, 0.471896
0.206422, -0.086617, 0.372371
0.225443, -0.045328, 0.385447
0.106671, -0.004890, 0.344226
-0.001361, 0.022081, 0.279925
0.100783, -0.003277, 0.250895
0.101714, 0.001963, 0.265117
0.104364, 0.035999, 0.318929
0.053922, -0.028344, 0.388363
0.090335, -0.138667, 0.622568
0.081216, -0.102062, 0.429922
0.089283, 0.057515, 0.492805
-0.024178, -0.034441, 0.352404
0.186014, -0.014471, 0.350509
0.090288, -0.089664, 0.432549
0.097525, -0.105270, 0.388360
0.115066, -0.042525, 0.448252
