pos_x, pos_y, pos_z
0.038436, -0.070383, 0.891133
0.176433, 0.044568, 0.710350
-0.114192, -0.071673, 1.064968
0.141633, 0.095644, 0.577984
0.141803, -0.069648, 0.678913
0.025030, 0.101292, 0.623777
-0.031540, 0.072479, 0.506631
0.206253, 0.127325, 0.731126
0.172923, -0.009535, 0.716398
0.231956, 0.031655, 0.742925
0.143427, -0.080170, 0.895097
0.156788, -0.023400, 0.832915
0.191076, 0.042245, 0.565743
0.169691, -0.043030, 0.565628
0.274582, -0.190218, 1.534702
0.088625, -0.039398, 0.738284
0.099036, -0.018606, 0.837486
0.234213, -0.106587, 0.837807
-0.025338, 0.050329, 0.517162
0.169073, 0.062715, 0.550284
0.067289, 0.029924, 0.385089
0.252176, -0.000227, 0.750325
0.099339, -0.095637, 0.868915
0.105345, 0.040927, 0.955370
-0.045716, 0.058302, 0.729202
0.135813, 0.088008, 0.494863
-0.051618, 0.071280, 0.683477
0.006275, 0.096789, 0.585204
0.167708, 0.083887, 0.703299
0.134520, 0.058674, 0.463471
0.141794, -0.074172, 0.695484
0.148424, 0.054305, 0.539443
0.030610, 0.106126, 0.761342
0.147602, 0.097452, 0.520537
-0.052262, 0.063518, 0.763990
0.023614, 0.101557, 0.587584
0.128617, 0.065653, 0.534415
-0.041216, 0.093258, 0.714274
0.212558, 0.046334, 0.593831
-0.011246, 0.077403, 0.589030
0.153992, -0.049557, 0.818459
0.125565, 0.086469, 0.776503
0.121079, -0.033366, 0.882402
0.230629, -0.024194, 1.052686
0.185797, -0.006012, 1.123721
-0.032070, 0.061942, 0.647910
0.147769, 0.092846, 0.526664
0.167213, 0.005127, 0.877526
0.157424, 0.048883, 0.584131
0.044228, -0.043949, 1.159387
-0.037107, 0.062346, 0.570626
-0.041257, 0.066009, 0.590556
0.193688, -0.055555, 0.653692
0.158933, 0.091404, 0.548124
-0.020825, 0.052418, 0.603673
0.209653, 0.048413, 0.755349
0.195021, 0.043206, 0.571898
0.145744, -0.014830, 0.728956
0.186165, 0.045510, 0.619217
0.196322, 0.024692, 0.750449
0.199550, -0.136606, 0.961257
0.019175, 0.079240, 0.501231
-0.139805, -0.027497, 1.084667
0.128345, 0.056216, 0.780523
0.093506, -0.016567, 0.787918
-0.037056, 0.074549, 0.689650
0.067839, 0.030269, 0.389035
-0.021641, 0.098206, 0.599666
0.164379, 0.089819, 0.586029
0.228493, 0.046028, 0.742081
0.213517, 0.046958, 0.752468
0.146557, 0.086379, 0.524932
0.159122, -0.030082, 0.763863
0.164794, -0.009990, 0.831620
0.144780, -0.071337, 0.688187
-0.016577, 0.087187, 0.753384
0.142992, -0.013171, 1.005162
0.142086, 0.052504, 0.469453
0.214993, 0.007731, 0.741289
0.162924, 0.002618, 1.131153
0.210953, 0.042584, 0.673839
0.176145, 0.095224, 0.559505
0.026815, 0.062269, 0.436320
-0.025870, 0.068136, 0.516926
-0.080795, 0.027703, 0.857907
-0.024686, 0.073553, 0.511582
0.073389, 0.218188, 0.924016
0.178714, 0.041728, 0.560964
0.172279, 0.077408, 0.717553
0.160525, -0.005195, 1.097423
0.131990, -0.093835, 1.128705
0.160041, 0.026870, 0.675051
0.174709, 0.021434, 0.709146
0.192409, 0.047992, 1.156619
0.087563, 0.120807, 0.701876
0.058956, 0.060482, 0.841502
0.077670, 0.049257, 0.863292
0.029219, 0.028644, 0.339629
0.087117, 0.100003, 0.596983
-0.013170, 0.085346, 0.604897
-0.015843, 0.039477, 0.560411
0.135959, 0.055438, 0.452155
0.014660, -0.018141, 0.823272
0.067505, 0.036877, 0.706160
0.111826, 0.023474, 0.929698
0.011663, 0.106764, 0.591044
0.036547, 0.027055, 0.369627
0.135745, 0.058328, 0.531714
-0.015183, 0.076238, 0.588905
-0.017735, 0.084183, 0.632384
0.145286, 0.080686, 0.480123
-0.010176, 0.112819, 0.657083
-0.009835, -0.016179, 0.743103
-0.041635, -0.009723, 0.930634
0.157795, 0.086617, 0.542995
-0.013048, -0.063975, 0.618554
